,ld_grd_s,ld_grd_i,lb_grd_s,lb_grd_i,lb_kme_sup,lb_kme_inf
48,33.63127979863532,10.680361643430821,18.606703650880146,25.38827062457476,26.606622516556282,17.722913705583764
49,33.50025567742076,11.530753987781331,20.18005377945694,26.501332464095334,27.460185185185203,18.58887096774192
50,34.749188637421824,11.076826319842453,19.446551411240463,25.672525915308327,27.42282091917592,16.877253218884118
51,35.81644020092833,11.793158022815504,15.509556739922278,20.901481453749348,26.615949820788526,13.92767857142857
52,32.936654609518335,9.957863828097915,14.75876179382093,18.96783982131791,24.734814814814833,12.282426778242666
53,32.4360273393541,6.713380534546873,12.118576451887222,19.979676211924623,23.567292225201054,10.228571428571424
54,33.14570062636041,6.453999093688658,8.864696182518575,19.647466654720347,22.5566757493188,11.319123505976055
55,30.623379524100322,6.361343617805371,9.899333866547725,19.7139125887797,21.329948364888118,11.927931034482777
56,30.948934867339524,7.631872026480838,9.90204368355478,19.427138521370214,21.519958847736632,12.402059134107681
57,30.241017163843598,8.779419991602293,12.360357743511226,19.358493156150676,21.947892720306513,12.900130378096508
58,30.793128755948153,10.358440603021139,13.310660060865484,19.305347734984167,23.20947775628627,13.374436090225565
59,31.620701591568668,10.495100706600123,17.28364792447059,22.59037141398987,24.565598491988688,14.832795698924716
60,29.50182257741022,5.70742335546835,16.15884561805516,24.04516202364784,23.064739413680783,14.387327188940112
61,28.849872827005683,8.305621808539243,17.56862838301255,23.16180321284783,23.395986622073586,13.82064516129033
62,29.941195736658162,7.7991102094229845,16.180144726732596,22.167223524713105,22.938302752293577,13.244642857142862
63,28.352259263304287,6.631275709022606,16.02888268017135,21.384955985257793,21.98434547908231,11.410256410256405
64,28.684456485744477,4.308626168043258,13.488981626588249,19.50423973206808,21.324619289340088,8.869811320754724
65,28.913667541183592,1.7818533425374596,10.343032753611158,20.393900868597875,20.154678899082565,6.779245283018868
66,27.96636707420836,2.465456706836605,9.284473053064083,18.577567227008153,19.20122641509434,8.586821705426349
