,BBDD,Recontrol,Cantidad,Porcentaje (%),var,Sector
4,B,D,1254,0.79,N_TM102,14
5,D,D,423,0.27,N_TM102,14
6,MC,D,319,0.2,N_TM102,14
7,MC,M,189,0.12,N_TM102,14
8,M,B,177,0.11,N_TM102,14
9,M,D,44,0.03,N_TM102,14
10,D,M,22,0.01,N_TM102,14
11,B,M,20,0.01,N_TM102,14
0,B,B,123385,78.83,N_TM103,14
1,MC,MC,20827,13.31,N_TM103,14
2,D,B,5470,3.49,N_TM103,14
3,M,M,2525,1.61,N_TM103,14
4,B,D,1765,1.13,N_TM103,14
5,D,D,1020,0.65,N_TM103,14
6,MC,D,551,0.35,N_TM103,14
7,B,M,349,0.22,N_TM103,14
8,MC,M,329,0.21,N_TM103,14
9,M,B,243,0.16,N_TM103,14
10,M,D,33,0.02,N_TM103,14
11,D,M,17,0.01,N_TM103,14
0,B,B,121779,80.32,N_TM104,14
1,D,B,15129,9.98,N_TM104,14
2,MC,MC,9523,6.28,N_TM104,14
3,M,M,1727,1.14,N_TM104,14
4,B,D,1321,0.87,N_TM104,14
5,M,B,891,0.59,N_TM104,14
6,D,D,585,0.39,N_TM104,14
7,MC,M,236,0.16,N_TM104,14
8,B,M,204,0.13,N_TM104,14
9,MC,D,175,0.12,N_TM104,14
10,M,D,35,0.02,N_TM104,14
11,D,M,11,0.01,N_TM104,14
0,B,B,141537,94.31,N_TM105,14
1,M,M,3995,2.66,N_TM105,14
2,D,B,2577,1.72,N_TM105,14
3,B,D,1082,0.72,N_TM105,14
4,D,D,294,0.2,N_TM105,14
5,B,M,265,0.18,N_TM105,14
6,M,B,194,0.13,N_TM105,14
7,D,M,84,0.06,N_TM105,14
8,M,D,41,0.03,N_TM105,14
9,MC,MC,14,0.01,N_TM105,14
10,MC,M,1,0.0,N_TM105,14
0,B,B,124549,82.53,N_TM106,14
1,D,B,13248,8.78,N_TM106,14
2,MC,MC,7576,5.02,N_TM106,14
3,M,M,2362,1.57,N_TM106,14
4,B,D,1463,0.97,N_TM106,14
5,M,B,668,0.44,N_TM106,14
6,D,D,593,0.39,N_TM106,14
7,B,M,227,0.15,N_TM106,14
8,MC,D,99,0.07,N_TM106,14
9,MC,M,63,0.04,N_TM106,14
10,M,D,45,0.03,N_TM106,14
11,D,M,19,0.01,N_TM106,14
0,B,B,135431,90.01,N_TM107,14
1,MC,MC,5305,3.53,N_TM107,14
2,D,B,4080,2.71,N_TM107,14
3,B,M,1889,1.26,N_TM107,14
4,B,D,1690,1.12,N_TM107,14
5,M,M,848,0.56,N_TM107,14
6,D,D,625,0.42,N_TM107,14
7,M,B,356,0.24,N_TM107,14
8,MC,D,109,0.07,N_TM107,14
9,MC,M,62,0.04,N_TM107,14
10,D,M,56,0.04,N_TM107,14
11,M,D,15,0.01,N_TM107,14
0,B,B,126543,85.09,N_TM108,14
1,MC,MC,9422,6.34,N_TM108,14
2,B,M,4510,3.03,N_TM108,14
3,D,B,3783,2.54,N_TM108,14
4,B,D,1448,0.97,N_TM108,14
5,MC,M,740,0.5,N_TM108,14
6,M,M,721,0.48,N_TM108,14
7,D,D,619,0.42,N_TM108,14
8,D,M,512,0.34,N_TM108,14
9,M,B,298,0.2,N_TM108,14
10,MC,D,109,0.07,N_TM108,14
11,M,D,10,0.01,N_TM108,14
0,B,B,127698,85.34,N_TM109,14
1,MC,MC,9189,6.14,N_TM109,14
2,D,B,4246,2.84,N_TM109,14
3,B,M,3718,2.48,N_TM109,14
4,B,D,1743,1.16,N_TM109,14
5,M,M,975,0.65,N_TM109,14
6,D,D,834,0.56,N_TM109,14
7,MC,M,530,0.35,N_TM109,14
8,D,M,259,0.17,N_TM109,14
9,MC,D,220,0.15,N_TM109,14
10,M,B,202,0.14,N_TM109,14
11,M,D,12,0.01,N_TM109,14
0,B,B,197352,96.15,N_PT101,14
1,MC,MC,7897,3.85,N_PT101,14
2,M,B,2,0.0,N_PT101,14
0,B,B,187801,96.07,N_PT102,14
1,MC,MC,7689,3.93,N_PT102,14
2,M,B,1,0.0,N_PT102,14
0,B,B,187362,95.96,N_PT103,14
1,MC,MC,7898,4.04,N_PT103,14
0,B,B,34487,69.89,N_TM102,15
1,MC,MC,8777,17.79,N_TM102,15
2,D,B,3331,6.75,N_TM102,15
3,B,D,945,1.92,N_TM102,15
4,M,M,783,1.59,N_TM102,15
5,MC,M,496,1.01,N_TM102,15
6,D,D,252,0.51,N_TM102,15
7,MC,D,112,0.23,N_TM102,15
8,M,B,56,0.11,N_TM102,15
9,B,M,50,0.1,N_TM102,15
10,M,D,40,0.08,N_TM102,15
11,D,M,13,0.03,N_TM102,15
0,B,B,29895,63.46,N_TM103,15
1,MC,MC,9984,21.19,N_TM103,15
2,B,D,1970,4.18,N_TM103,15
3,D,B,1839,3.9,N_TM103,15
4,MC,M,982,2.08,N_TM103,15
5,M,M,862,1.83,N_TM103,15
6,D,D,855,1.81,N_TM103,15
7,MC,D,418,0.89,N_TM103,15
8,B,M,222,0.47,N_TM103,15
9,M,B,46,0.1,N_TM103,15
10,M,D,30,0.06,N_TM103,15
11,D,M,8,0.02,N_TM103,15
0,B,B,25504,71.99,N_TM104,15
1,D,B,6491,18.32,N_TM104,15
2,M,M,1350,3.81,N_TM104,15
3,B,D,664,1.87,N_TM104,15
4,D,D,515,1.45,N_TM104,15
5,M,B,507,1.43,N_TM104,15
6,B,M,333,0.94,N_TM104,15
7,D,M,38,0.11,N_TM104,15
8,M,D,27,0.08,N_TM104,15
0,B,B,27250,77.18,N_TM105,15
1,D,B,3518,9.96,N_TM105,15
2,M,M,2412,6.83,N_TM105,15
3,B,M,575,1.63,N_TM105,15
4,B,D,521,1.48,N_TM105,15
5,MC,MC,425,1.2,N_TM105,15
6,D,D,222,0.63,N_TM105,15
7,D,M,146,0.41,N_TM105,15
8,MC,M,125,0.35,N_TM105,15
9,M,D,64,0.18,N_TM105,15
10,M,B,36,0.1,N_TM105,15
11,MC,D,15,0.04,N_TM105,15
0,B,B,24686,71.8,N_TM106,15
1,D,B,6358,18.49,N_TM106,15
2,M,M,1920,5.58,N_TM106,15
3,B,D,457,1.33,N_TM106,15
4,M,B,365,1.06,N_TM106,15
5,B,M,272,0.79,N_TM106,15
6,D,D,228,0.66,N_TM106,15
7,M,D,67,0.19,N_TM106,15
8,D,M,27,0.08,N_TM106,15
0,B,B,23878,89.52,N_TM107,15
1,B,M,958,3.59,N_TM107,15
2,D,B,705,2.64,N_TM107,15
3,B,D,381,1.43,N_TM107,15
4,M,M,371,1.39,N_TM107,15
5,D,D,268,1.0,N_TM107,15
6,M,B,57,0.21,N_TM107,15
7,D,M,46,0.17,N_TM107,15
8,M,D,10,0.04,N_TM107,15
0,B,B,22529,84.63,N_TM108,15
1,B,M,1989,7.47,N_TM108,15
2,D,B,861,3.23,N_TM108,15
3,M,M,421,1.58,N_TM108,15
4,B,D,411,1.54,N_TM108,15
5,D,M,205,0.77,N_TM108,15
6,D,D,151,0.57,N_TM108,15
7,M,B,36,0.14,N_TM108,15
8,M,D,18,0.07,N_TM108,15
0,B,B,22979,86.06,N_TM109,15
1,B,M,1553,5.82,N_TM109,15
2,M,M,774,2.9,N_TM109,15
3,D,B,630,2.36,N_TM109,15
4,B,D,410,1.54,N_TM109,15
5,D,D,214,0.8,N_TM109,15
6,M,B,64,0.24,N_TM109,15
7,D,M,50,0.19,N_TM109,15
8,M,D,27,0.1,N_TM109,15
0,B,B,48696,100.0,N_PT101,15
1,MC,MC,1,0.0,N_PT101,15
0,B,B,26554,100.0,N_PT102,15
0,B,B,26582,100.0,N_PT103,15
1,MC,MC,1,0.0,N_PT103,15
