,BBDD,Recontrol,Cantidad,Porcentaje (%),var,Sector
10,M,D,12,0.0,N_TM107,5
0,B,B,380250,90.96,N_TM108,5
1,B,M,19634,4.7,N_TM108,5
2,D,B,7909,1.89,N_TM108,5
3,B,D,6658,1.59,N_TM108,5
4,D,D,2403,0.57,N_TM108,5
5,D,M,607,0.15,N_TM108,5
6,M,B,259,0.06,N_TM108,5
7,M,M,239,0.06,N_TM108,5
8,MC,MC,73,0.02,N_TM108,5
9,MC,D,17,0.0,N_TM108,5
10,M,D,3,0.0,N_TM108,5
0,B,B,376634,90.16,N_TM109,5
1,B,M,18816,4.5,N_TM109,5
2,D,B,9896,2.37,N_TM109,5
3,B,D,7165,1.72,N_TM109,5
4,D,D,3720,0.89,N_TM109,5
5,D,M,799,0.19,N_TM109,5
6,M,M,331,0.08,N_TM109,5
7,M,B,284,0.07,N_TM109,5
8,MC,MC,47,0.01,N_TM109,5
9,MC,D,15,0.0,N_TM109,5
10,M,D,10,0.0,N_TM109,5
0,B,B,877660,98.64,N_PT101,5
1,MC,MC,12144,1.36,N_PT101,5
0,B,B,792649,99.91,N_PT102,5
1,MC,MC,714,0.09,N_PT102,5
0,B,B,792463,99.9,N_PT103,5
1,MC,MC,769,0.1,N_PT103,5
0,B,B,311792,72.12,N_TM102,6
1,MC,MC,100284,23.2,N_TM102,6
2,B,D,5769,1.33,N_TM102,6
3,D,B,5360,1.24,N_TM102,6
4,M,M,3403,0.79,N_TM102,6
5,MC,D,2372,0.55,N_TM102,6
6,D,D,1445,0.33,N_TM102,6
7,MC,M,1079,0.25,N_TM102,6
8,B,M,495,0.11,N_TM102,6
9,M,B,286,0.07,N_TM102,6
10,M,D,43,0.01,N_TM102,6
11,D,M,19,0.0,N_TM102,6
0,B,B,301151,70.18,N_TM103,6
1,MC,MC,104471,24.34,N_TM103,6
2,B,D,6029,1.4,N_TM103,6
3,D,B,5631,1.31,N_TM103,6
4,MC,M,3902,0.91,N_TM103,6
5,MC,D,2788,0.65,N_TM103,6
6,M,M,2212,0.52,N_TM103,6
7,D,D,1537,0.36,N_TM103,6
8,B,M,1191,0.28,N_TM103,6
9,D,M,97,0.02,N_TM103,6
10,M,B,69,0.02,N_TM103,6
11,M,D,60,0.01,N_TM103,6
0,B,B,325606,76.66,N_TM104,6
1,D,B,66412,15.64,N_TM104,6
2,MC,MC,20439,4.81,N_TM104,6
3,B,D,3896,0.92,N_TM104,6
4,B,M,2094,0.49,N_TM104,6
5,M,M,1969,0.46,N_TM104,6
6,D,D,1671,0.39,N_TM104,6
7,M,B,1614,0.38,N_TM104,6
8,MC,D,631,0.15,N_TM104,6
9,MC,M,251,0.06,N_TM104,6
10,D,M,121,0.03,N_TM104,6
11,M,D,56,0.01,N_TM104,6
0,B,B,377795,89.52,N_TM105,6
1,MC,MC,23043,5.46,N_TM105,6
2,M,M,6557,1.55,N_TM105,6
3,D,B,5412,1.28,N_TM105,6
4,B,D,4568,1.08,N_TM105,6
5,B,M,2404,0.57,N_TM105,6
6,D,D,681,0.16,N_TM105,6
7,MC,D,590,0.14,N_TM105,6
8,MC,M,434,0.1,N_TM105,6
9,M,B,264,0.06,N_TM105,6
10,D,M,197,0.05,N_TM105,6
11,M,D,83,0.02,N_TM105,6
0,B,B,325303,76.42,N_TM106,6
1,D,B,65010,15.27,N_TM106,6
2,MC,MC,19353,4.55,N_TM106,6
3,B,D,5114,1.2,N_TM106,6
4,M,B,3051,0.72,N_TM106,6
5,D,D,2582,0.61,N_TM106,6
6,M,M,1965,0.46,N_TM106,6
7,B,M,1943,0.46,N_TM106,6
8,MC,D,940,0.22,N_TM106,6
9,MC,M,217,0.05,N_TM106,6
10,M,D,131,0.03,N_TM106,6
11,D,M,54,0.01,N_TM106,6
0,B,B,360160,90.17,N_TM107,6
1,MC,MC,23528,5.89,N_TM107,6
2,D,B,4351,1.09,N_TM107,6
3,B,M,4344,1.09,N_TM107,6
4,B,D,3314,0.83,N_TM107,6
5,D,D,1357,0.34,N_TM107,6
6,M,M,745,0.19,N_TM107,6
7,MC,M,642,0.16,N_TM107,6
8,MC,D,589,0.15,N_TM107,6
9,D,M,230,0.06,N_TM107,6
10,M,B,163,0.04,N_TM107,6
11,M,D,14,0.0,N_TM107,6
0,B,B,349268,87.97,N_TM108,6
1,MC,MC,24901,6.27,N_TM108,6
2,B,M,9167,2.31,N_TM108,6
3,D,B,4441,1.12,N_TM108,6
4,B,D,4040,1.02,N_TM108,6
5,D,D,1619,0.41,N_TM108,6
6,M,M,1150,0.29,N_TM108,6
7,MC,M,1129,0.28,N_TM108,6
8,MC,D,713,0.18,N_TM108,6
9,D,M,454,0.11,N_TM108,6
10,M,B,136,0.03,N_TM108,6
11,M,D,16,0.0,N_TM108,6
0,B,B,357976,89.5,N_TM109,6
1,MC,MC,17240,4.31,N_TM109,6
2,B,M,7847,1.96,N_TM109,6
3,D,B,6973,1.74,N_TM109,6
4,B,D,4655,1.16,N_TM109,6
5,D,D,2435,0.61,N_TM109,6
6,M,M,981,0.25,N_TM109,6
7,MC,D,855,0.21,N_TM109,6
8,MC,M,570,0.14,N_TM109,6
9,D,M,272,0.07,N_TM109,6
10,M,B,140,0.04,N_TM109,6
11,M,D,16,0.0,N_TM109,6
0,B,B,1543293,98.51,N_PT101,6
1,MC,MC,23363,1.49,N_PT101,6
2,M,B,2,0.0,N_PT101,6
0,B,B,1485521,99.39,N_PT102,6
1,MC,MC,9095,0.61,N_PT102,6
2,M,B,18,0.0,N_PT102,6
0,B,B,1481586,99.38,N_PT103,6
1,MC,MC,9249,0.62,N_PT103,6
2,M,B,18,0.0,N_PT103,6
0,B,B,496148,77.09,N_TM102,7
1,MC,MC,119650,18.59,N_TM102,7
2,D,B,12113,1.88,N_TM102,7
3,B,D,5838,0.91,N_TM102,7
4,M,M,4306,0.67,N_TM102,7
5,MC,D,2873,0.45,N_TM102,7
6,D,D,1822,0.28,N_TM102,7
7,MC,M,401,0.06,N_TM102,7
8,B,M,198,0.03,N_TM102,7
9,M,B,130,0.02,N_TM102,7
10,M,D,88,0.01,N_TM102,7
11,D,M,53,0.01,N_TM102,7
0,B,B,492831,76.55,N_TM103,7
1,MC,MC,121801,18.92,N_TM103,7
2,D,B,9679,1.5,N_TM103,7
3,B,D,5803,0.9,N_TM103,7
4,M,M,4968,0.77,N_TM103,7
5,MC,D,3262,0.51,N_TM103,7
6,D,D,2305,0.36,N_TM103,7
7,MC,M,1437,0.22,N_TM103,7
8,B,M,1383,0.21,N_TM103,7
9,M,B,156,0.02,N_TM103,7
10,M,D,101,0.02,N_TM103,7
11,D,M,76,0.01,N_TM103,7
0,B,B,527789,86.15,N_TM104,7
1,D,B,41953,6.85,N_TM104,7
2,MC,MC,23537,3.84,N_TM104,7
3,M,M,6986,1.14,N_TM104,7
4,B,D,6274,1.02,N_TM104,7
5,D,D,2854,0.47,N_TM104,7
6,B,M,1250,0.2,N_TM104,7
7,M,B,752,0.12,N_TM104,7
8,MC,D,677,0.11,N_TM104,7
9,MC,M,387,0.06,N_TM104,7
10,M,D,120,0.02,N_TM104,7
11,D,M,54,0.01,N_TM104,7
0,B,B,545969,90.06,N_TM105,7
1,MC,MC,29738,4.91,N_TM105,7
2,D,B,10134,1.67,N_TM105,7
3,M,M,10075,1.66,N_TM105,7
4,B,D,5458,0.9,N_TM105,7
5,D,D,1506,0.25,N_TM105,7
6,B,M,1359,0.22,N_TM105,7
7,MC,D,811,0.13,N_TM105,7
8,MC,M,583,0.1,N_TM105,7
9,M,D,241,0.04,N_TM105,7
10,D,M,235,0.04,N_TM105,7
11,M,B,129,0.02,N_TM105,7
0,B,B,516794,84.51,N_TM106,7
